uid,area,gerente,fecha,banda,calificacion,salario,seguro,vales
G-7944,Gerencia,Herlinda Thorp  ,41964,Banda 16,3,22423,2018.07,448.46
G08492,Gerencia,Willian LaRH  ,40524,Banda 16,2,15688.8,784.44,1098.216
R-7358,Gerencia,Adalberto Mcferrin  ,40532,Banda 18,3,36997,3699.7,1479.88
L-7313,Gerencia,Veola Frase  ,42593,Banda 16,2,14497.2,869.832,144.972
R-7838,Gerencia,Hanh Kohut  ,40538,Banda 17,1,21584.25,1726.74,1726.74
L08438,Gerencia,Elayne Gauger  ,42728,Banda 15,3,10196,815.68,101.96
A-8138,Gerencia,Earnest Anderton  ,42619,Banda 15,5,13541.25,947.8875,1895.775
A-7779,Gerencia,Shonta Stefan  ,42225,Banda 16,3,16486,1318.88,2308.04
R07868,Gerencia,Justa Boer  ,40516,Banda 15,4,15258.1,762.905,1068.067
R-8131,Gerencia,Noble Portis  ,41595,Banda 15,2,10609.2,742.644,106.092
A07946,Finanzas,Sarai Darosa  ,40907,Banda 15,3,15031,1503.1,901.86
L-7305,Finanzas,Jayme Tolleson  ,41138,Banda 15,4,9024.4,902.44,270.732
R08339,Finanzas,Margurite Everton  ,41455,Banda 15,4,9081.6,908.16,1180.608
A07582,Finanzas,Elton Verrier  ,40703,Banda 16,3,22419,2017.71,224.19
L-8445,Finanzas,Lourie Ealy  ,41434,Banda 15,2,10968.3,658.098,1096.83
L07626,Finanzas,Della Muniz  ,40710,Banda 15,3,8200,574,164
R07666,Finanzas,Oneida Cosio  ,40759,Banda 15,5,14260,998.2,1996.4
R-7416,Finanzas,Noble Portis  ,42107,Banda 15,3,14466,723.3,1591.26
R-7539,Finanzas,Frankie Koester  ,42309,Banda 17,3,29562,2069.34,3251.82
G08494,Finanzas,Edyth Judkins  ,40664,Banda 18,4,39006,3120.48,5070.78
A-7791,Finanzas,Adalberto Mcferrin  ,40750,Banda 20,4,71196.4,7119.64,7831.604
L07494,Finanzas,Sterling Huston  ,42327,Banda 17,2,29696.4,1781.784,4157.496
A08412,Finanzas,Nathalie Boettcher  ,42912,Banda 16,4,19519.5,1366.365,1366.365
R-8088,Finanzas,Concepcion Sevin  ,42531,Banda 15,4,10443.4,939.906,1253.208
A07449,Finanzas,Noble Portis  ,42245,Banda 15,3,14605,1022.35,1606.55
A08168,Finanzas,Edwardo Hardrick  ,41055,Banda 17,3,22700,2270,454
A-7970,Finanzas,Della Muniz  ,42423,Banda 17,4,24866.6,1740.662,1491.996
A-8493,Finanzas,Mayme Gorney  ,42680,Banda 15,1,8859.75,442.9875,88.5975
A08372,Finanzas,Audrea Franke  ,41449,Banda 16,2,18693.9,1869.39,1495.512
G07661,Finanzas,Margurite Everton  ,41936,Banda 16,2,18502.2,1295.154,1295.154
R-7872,Finanzas,Heide Kardos  ,42974,Banda 15,3,12327,1109.43,739.62
R-7745,Finanzas,Nena Custis  ,41717,Banda 16,5,25060,2004.8,2756.6
G-8070,Finanzas,Krystyna Summerlin  ,42254,Banda 16,3,17547,877.35,1579.23
R07670,Finanzas,Sterling Huston  ,41529,Banda 15,3,12888,1159.92,515.52
G-7942,Finanzas,Shannan Dingess  ,41710,Banda 15,3,15251,1067.57,305.02
R-8421,Finanzas,Nena Custis  ,40526,Banda 15,3,14327,1002.89,1432.7
A08142,Finanzas,Earnest Anderton  ,41746,Banda 18,4,34981.1,1749.055,5247.165
G08103,Finanzas,Gabrielle Merriman  ,42541,Banda 15,3,11987,958.96,359.61
L-7811,Finanzas,January Heslop  ,41189,Banda 17,4,24461.8,1712.326,3180.034
A-7381,Finanzas,Daysi Armas  ,42893,Banda 15,3,12858,771.48,1028.64
G-8056,Finanzas,Davina Farraj  ,41128,Banda 15,3,8290,497.4,911.9
G08418,Finanzas,Daysi Armas  ,41394,Banda 15,3,8607,774.63,602.49
A-7572,Finanzas,Kelley Bonenfant  ,42812,Banda 17,4,26737.7,2406.393,2673.77
L08145,Finanzas,Pandora Chang  ,41474,Banda 17,4,35202.2,3520.22,4928.308
R07338,Finanzas,Sha Desimone  ,42600,Banda 15,3,15473,1237.84,1856.76
R-7713,Finanzas,Charisse Weist  ,40815,Banda 16,4,22860.2,1828.816,685.806
A-7965,Finanzas,Kandace Navin  ,40595,Banda 15,2,9863.1,887.679,394.524
R-8481,Finanzas,Coreen Washer  ,42718,Banda 15,5,12887.5,644.375,515.5
A-8495,Finanzas,Wade Landen  ,42922,Banda 16,3,15252,1067.64,1830.24
A07755,Finanzas,Kelley Bonenfant  ,41473,Banda 15,2,12868.2,900.774,1158.138
L-8125,Finanzas,Noble Portis  ,41024,Banda 15,3,10500,630,630
A07900,Finanzas,Margareta Schwing  ,42606,Banda 15,3,13345,1334.5,1067.6
R08460,Finanzas,Daysi Armas  ,40584,Banda 15,3,11664,816.48,1632.96
R-7437,Finanzas,Adalberto Mcferrin  ,42939,Banda 16,2,14670,880.2,2053.8
A-8372,Finanzas,Alysia Thaxton  ,42716,Banda 15,4,16418.6,1149.302,1970.232
G-8302,Finanzas,Shannan Dingess  ,41592,Banda 15,2,12349.8,1111.482,617.49
L08467,Finanzas,Margurite Everton  ,40700,Banda 15,4,10377.4,622.644,1037.74
G08329,Finanzas,Porsche Lockamy  ,40552,Banda 15,3,14565,728.25,436.95
L07330,Finanzas,Sha Desimone  ,42026,Banda 17,3,25121,1256.05,1758.47
A07724,Finanzas,Sha Desimone  ,42731,Banda 15,2,7364.7,441.882,810.117
G07480,Finanzas,Elma Matheney  ,42886,Banda 15,3,14312,1288.08,143.12
A08352,Finanzas,Sandy Faison  ,40494,Banda 15,2,9137.7,913.77,274.131
R08103,Finanzas,Janene Wellman  ,42290,Banda 17,4,29606.5,2368.52,1184.26
G07942,Finanzas,Willian LaRH  ,42469,Banda 17,4,27421.9,2742.19,2467.971
G-8046,Finanzas,Aisha Fermin  ,41779,Banda 15,3,9663,579.78,289.89
L08026,Finanzas,Margurite Everton  ,42878,Banda 15,2,9940.5,894.645,1292.265
A08252,Finanzas,Lourie Ealy  ,43003,Banda 20,3,99786,8980.74,4989.3
G-8163,Finanzas,Edwardo Hardrick  ,41386,Banda 15,3,11699,818.93,818.93
G08399,Finanzas,Nena Custis  ,42736,Banda 18,2,39678.3,3967.83,1587.132
G08423,Finanzas,Ladawn Karner  ,42026,Banda 15,3,9545,477.25,668.15
G-8357,Finanzas,Jeane Putney  ,40494,Banda 17,3,27363,2736.3,3009.93
L-8170,Finanzas,Roosevelt Saleem  ,42782,Banda 16,3,15820,1107.4,1107.4
A08390,Finanzas,Margarete Sauer  ,42105,Banda 18,5,56388.75,3383.325,3383.325
R07667,Finanzas,Cristopher Stroble  ,42553,Banda 16,3,16535,1488.15,661.4
A07868,Finanzas,Kelley Bonenfant  ,42377,Banda 17,4,30714.2,2764.278,4299.988
L-7592,Finanzas,Audrea Franke  ,42595,Banda 15,3,11981,838.67,838.67
A-7753,Finanzas,Kristan Botelho  ,41906,Banda 15,2,12602.7,756.162,1386.297
L-7810,Finanzas,Aisha Fermin  ,42332,Banda 17,2,20770.2,1869.318,2284.722
L08056,Finanzas,Aisha Fermin  ,41865,Banda 15,3,11296,790.72,338.88
A07365,Finanzas,Lourie Ealy  ,40624,Banda 15,4,8849.5,619.465,530.97
A-8075,Finanzas,Enrique KeRHer  ,41419,Banda 17,4,30530.5,1526.525,3968.965
R08348,Finanzas,Heide Kardos  ,41808,Banda 15,2,8280.9,662.472,662.472
R07944,Finanzas,Porsche Lockamy  ,42851,Banda 16,4,21667.8,1300.068,2166.78
G07885,Finanzas,Sha Desimone  ,40544,Banda 15,4,12325.5,1109.295,1232.55
L-8457,Finanzas,Quinn Coller  ,42457,Banda 15,2,10741.5,537.075,429.66
R08235,Finanzas,Lyla Falzone  ,40540,Banda 16,2,17280.9,1209.663,1036.854
A-7920,Finanzas,Santa Brister  ,42165,Banda 15,1,10247.25,922.2525,1127.1975
R-8172,Finanzas,Krystyna Summerlin  ,41155,Banda 20,4,86412.7,8641.27,6913.016
G-8020,Finanzas,Kandace Navin  ,40733,Banda 15,3,10639,531.95,957.51
L-8236,Finanzas,Pandora Chang  ,41550,Banda 15,3,12034,601.7,120.34
L07960,Finanzas,Santa Brister  ,42211,Banda 15,2,9771.3,781.704,1367.982
R-7704,Finanzas,Justa Boer  ,41901,Banda 15,3,14413,864.78,1441.3
A-7590,Finanzas,Oneida Cosio  ,42258,Banda 15,1,8439,759.51,675.12
L08211,Finanzas,Clara Lamas  ,41130,Banda 15,4,10640.3,851.224,212.806
R07871,Finanzas,Ileen Reynosa  ,41220,Banda 15,3,13155,657.75,1973.25
L-7850,Finanzas,Leontine Longacre  ,42462,Banda 15,1,11169,558.45,1451.97
G-8244,Finanzas,Kimberely Houtz  ,40516,Banda 15,3,10467,942.03,418.68
L-8207,Finanzas,Willian LaRH  ,42139,Banda 16,2,18031.5,1442.52,1262.205
A08188,Finanzas,Erich Gattis  ,42391,Banda 15,4,15271.3,763.565,1374.417
L07902,Finanzas,Lynne Gainey  ,41378,Banda 15,4,16962,1526.58,2374.68
R-8204,Finanzas,Shannan Dingess  ,40537,Banda 15,2,9814.5,490.725,1275.885
A07873,Finanzas,Nena Custis  ,42293,Banda 15,4,8940.8,447.04,804.672
A07819,Finanzas,Sha Desimone  ,41809,Banda 15,3,14115,1411.5,282.3
A08142,Finanzas,Jayme Tolleson  ,42362,Banda 15,4,13174.7,1185.723,263.494
A-8408,Finanzas,Colene Apicella  ,41151,Banda 15,5,19320,966,772.8
A08186,Finanzas,Laverna Goble  ,42194,Banda 16,2,15809.4,948.564,316.188
A08439,Finanzas,Janene Wellman  ,40707,Banda 17,3,21509,1075.45,430.18
A07466,Finanzas,Lyla Falzone  ,42137,Banda 15,4,9275.2,927.52,1298.528
L-7520,Finanzas,Heide Kardos  ,41869,Banda 15,3,12832,1283.2,513.28
G-8226,Finanzas,Oneida Cosio  ,41641,Banda 15,4,14762,885.72,1033.34
L-8357,Finanzas,Kimberely Houtz  ,41751,Banda 17,3,22605,1130.25,226.05
R07495,Finanzas,Quinn Coller  ,41532,Banda 15,4,12602.7,630.135,378.081
G07668,Finanzas,Noble Portis  ,41701,Banda 15,3,12214,977.12,122.14
A07353,Finanzas,Sha Desimone  ,41929,Banda 17,4,31216.9,3121.69,1873.014
A08430,Finanzas,Jeni Buchman  ,40802,Banda 16,5,28330,2549.7,1983.1
R08159,Finanzas,Marinda Skelley  ,40710,Banda 15,4,12232,856.24,244.64
A-8018,Finanzas,Kimi Witter  ,40824,Banda 16,2,13532.4,1082.592,2029.86
L-8260,Finanzas,Coreen Washer  ,42905,Banda 18,2,31835.7,1591.785,4138.641
G07723,Finanzas,Frankie Koester  ,42001,Banda 18,3,43296,2164.8,4762.56
G-8279,Finanzas,Concepcion Sevin  ,41771,Banda 15,2,12465,747.9,997.2
G08086,Finanzas,Margareta Schwing  ,41820,Banda 15,5,15528.75,1087.0125,155.2875
L07415,Finanzas,Nena Custis  ,40864,Banda 15,5,14413.75,1153.1,576.55
G-7831,Finanzas,Wade Landen  ,42906,Banda 17,4,34103.3,1705.165,1364.132
G-7477,Finanzas,Quinn Coller  ,42718,Banda 15,4,12054.9,1084.941,361.647
A07749,Finanzas,Lyla Falzone  ,41810,Banda 15,5,10606.25,1060.625,1060.625
G-8140,Finanzas,Aretha Newbern  ,40944,Banda 17,4,31489.7,3148.97,1889.382
R07659,Finanzas,Gerente,40517,Banda 17,2,20495.7,1844.613,1639.656
L07365,Finanzas,Trudy Gaulding  ,41243,Banda 15,3,11599,1043.91,695.94
G08186,Finanzas,Leontine Longacre  ,40829,Banda 20,1,78378.75,7054.0875,7837.875
G08225,Finanzas,Gabrielle Merriman  ,41636,Banda 16,4,18401.9,1656.171,1288.133
R-7996,Finanzas,Mary Herb  ,41947,Banda 17,2,19982.7,999.135,199.827
R08322,Finanzas,Idell Ding  ,41507,Banda 17,2,19692.9,1969.29,590.787
L07399,Finanzas,Quinn Coller  ,42690,Banda 18,5,58501.25,2925.0625,5265.1125
L07328,Finanzas,Margurite Everton  ,42711,Banda 16,4,19687.8,1378.146,393.756
A07905,Finanzas,Trudy Gaulding  ,40593,Banda 15,3,8089,647.12,728.01
L-7810,Finanzas,Elayne Gauger  ,41597,Banda 16,3,14695,1469.5,146.95
G-7341,Finanzas,Justa Boer  ,41266,Banda 15,3,12619,630.95,1892.85
R08107,Finanzas,Jeane Putney  ,40783,Banda 15,2,13186.8,923.076,1978.02
G07571,Finanzas,Ladawn Karner  ,40554,Banda 16,3,22650,2038.5,3397.5
L-8466,Finanzas,Kimi Witter  ,42332,Banda 15,3,8292,497.52,497.52
A07308,Finanzas,Jayme Tolleson  ,42145,Banda 15,4,13328.7,1199.583,533.148
A08004,Finanzas,Sandy Faison  ,42465,Banda 18,2,35169.3,3165.237,4220.316
L08214,Finanzas,Alysia Thaxton  ,41389,Banda 15,2,10798.2,971.838,863.856
G07522,Finanzas,Leontine Longacre  ,42421,Banda 15,3,13962,1256.58,558.48
A-7619,Finanzas,Earnest Anderton  ,42170,Banda 18,4,34387.1,2750.968,4470.323
G-7718,Finanzas,Kimi Witter  ,40651,Banda 15,3,12023,1082.07,360.69
R07687,Finanzas,Susanna Vosburgh  ,42028,Banda 16,2,20204.1,1818.369,1414.287
A-7507,Finanzas,Kimi Witter  ,41740,Banda 17,3,24555,2209.95,1227.75
A-8162,Finanzas,Mayme Gorney  ,40697,Banda 17,2,28611.9,2575.071,1716.714
G07557,Finanzas,Roosevelt Saleem  ,42095,Banda 16,4,23009.8,1840.784,2300.98
A-8447,Finanzas,Jayme Tolleson  ,42914,Banda 15,2,11907,952.56,476.28
R-7574,Finanzas,Kristan Botelho  ,42741,Banda 16,3,20785,1247.1,415.7
G-8356,Finanzas,Charisse Weist  ,41948,Banda 15,3,9832,983.2,98.32
R07305,Finanzas,Ladawn Karner  ,42773,Banda 16,4,23994.3,1199.715,1679.601
G-7794,Finanzas,Nelia Sellner  ,42647,Banda 15,2,13384.8,1070.784,1873.872
G-7466,Finanzas,Shannan Dingess  ,41997,Banda 16,2,19430.1,971.505,2525.913
A-7340,Finanzas,Lourie Ealy  ,41636,Banda 15,2,10289.7,823.176,205.794
R07860,Finanzas,Mayme Gorney  ,41684,Banda 15,3,8006,400.3,1040.78
L-8073,Finanzas,Lean Hersom  ,42937,Banda 15,1,10436.25,521.8125,104.3625
R-7345,Finanzas,Susanna Vosburgh  ,40887,Banda 15,3,14310,1144.8,1860.3
L08472,Finanzas,Shonta Stefan  ,40526,Banda 17,4,32293.8,3229.38,3875.256
G-8261,Finanzas,Leontine Longacre  ,40848,Banda 15,3,13603,952.21,1632.36
A07335,Finanzas,Jeni Buchman  ,41238,Banda 17,2,27891,1952.37,1673.46
L-7840,Finanzas,Candelaria Loya  ,42741,Banda 18,3,43695,3495.6,4806.45
G-7795,Finanzas,Clara Lamas  ,41049,Banda 17,4,31192.7,1559.635,1871.562
G08021,Finanzas,Cristopher Stroble  ,42590,Banda 17,4,33598.4,1679.92,5039.76
R-8151,Finanzas,Lyla Falzone  ,41584,Banda 18,4,41331.4,2479.884,2479.884
G-7960,Finanzas,Porsche Lockamy  ,42280,Banda 15,5,19026.25,1331.8375,2663.675
R07907,Finanzas,Santa Brister  ,42295,Banda 16,3,19461,1167.66,1556.88
L08292,Finanzas,Juliet Pass  ,41261,Banda 17,3,23498,1409.88,2114.82
L-7536,Finanzas,Herlinda Thorp  ,41607,Banda 17,2,24014.7,2401.47,2161.323
G07548,Finanzas,Lourie Ealy  ,40885,Banda 16,4,22782.1,1366.926,1822.568
R-7397,Finanzas,Alysia Thaxton  ,42017,Banda 15,2,12406.5,1240.65,1116.585
G08284,Finanzas,Tomoko Parente  ,41898,Banda 15,2,7690.5,384.525,615.24
R08291,Finanzas,Kandace Navin  ,42967,Banda 17,2,27954.9,2236.392,3634.137
L07321,Finanzas,Trudy Gaulding  ,42661,Banda 17,3,31208,1560.4,4681.2
A-8431,Finanzas,Shannan Dingess  ,42284,Banda 16,3,15579,778.95,1090.53
A08026,Finanzas,Kimberely Houtz  ,41619,Banda 18,5,39960,2797.2,3596.4
R07720,Finanzas,Margareta Schwing  ,42324,Banda 17,4,35690.6,2141.436,2855.248
A-8438,Finanzas,Leontine Longacre  ,41391,Banda 15,4,11114.4,778.008,1111.44
L-7635,Finanzas,Veola Frase  ,41399,Banda 16,3,16265,1463.85,1138.55
G-8139,Finanzas,Roosevelt Saleem  ,41949,Banda 17,4,29420.6,2059.442,588.412
A08362,Finanzas,Mayme Gorney  ,41104,Banda 15,3,10586,741.02,1164.46
L-7476,Finanzas,Erich Gattis  ,42316,Banda 15,5,13788.75,965.2125,2068.3125
G-7685,Finanzas,Kandace Navin  ,42406,Banda 15,2,7218.9,360.945,72.189
G-8032,Finanzas,Charisse Weist  ,43009,Banda 15,3,12495,1249.5,999.6
G-8178,Finanzas,Nena Custis  ,42491,Banda 15,5,17787.5,1245.125,889.375
G08432,Finanzas,Lyla Falzone  ,42211,Banda 15,4,11609.4,580.47,464.376
R08414,Finanzas,Clara Lamas  ,41186,Banda 16,4,19233.5,1346.345,2500.355
G-7522,Finanzas,Gerente,42467,Banda 17,3,29900,2691,1196
L-7821,Finanzas,Jayme Tolleson  ,40824,Banda 16,2,12694.5,1142.505,1269.45
L-7607,Finanzas,Lindsey Eckel  ,41623,Banda 17,3,23091,1385.46,3001.83
L08402,Finanzas,Adelia Monty  ,41324,Banda 15,3,9030,722.4,361.2
G07524,Finanzas,Kelley Bonenfant  ,41922,Banda 17,3,23301,2330.1,1398.06
G07730,Finanzas,Sandy Mcgrady  ,42031,Banda 17,3,30384,2734.56,1215.36
A08470,Finanzas,Leontine Longacre  ,40594,Banda 16,4,18421.7,1657.953,2579.038
G08135,Finanzas,Kelley Bonenfant  ,40609,Banda 16,5,18235,1276.45,2552.9
R08344,Finanzas,Noble Portis  ,41319,Banda 20,2,85127.4,4256.37,5107.644
R08393,Finanzas,Concepcion Sevin  ,40916,Banda 15,3,8124,568.68,649.92
R07531,Finanzas,Tomoko Parente  ,41675,Banda 15,5,13926.25,1114.1,974.8375
A-8186,Finanzas,Brigida Arzate  ,41891,Banda 17,3,27368,1368.4,1368.4
A-8496,Finanzas,Johnette Chapple  ,41144,Banda 17,3,22354,1788.32,2011.86
L-7870,Finanzas,Brigida Arzate  ,42025,Banda 16,3,15517,1241.36,310.34
G07797,Finanzas,Clara Lamas  ,41019,Banda 15,3,9732,973.2,1167.84
R07741,Finanzas,Margurite Everton  ,40577,Banda 16,3,17656,1059.36,1765.6
A-7961,Finanzas,Clara Lamas  ,41116,Banda 16,2,14601.6,876.096,1314.144
R-8404,Finanzas,Laverna Goble  ,40730,Banda 15,4,10191.5,917.235,203.83
A-7387,Finanzas,Sarai Darosa  ,42976,Banda 16,3,18138,1088.28,1995.18
L-8398,Finanzas,Margurite Everton  ,42853,Banda 18,2,30586.5,3058.65,611.73
R-8462,Finanzas,Mayra Stead  ,41101,Banda 15,3,15266,1068.62,152.66
L-8414,Finanzas,Tanner Cambridge  ,42357,Banda 15,2,9352.8,654.696,841.752
G-7557,Finanzas,Davina Farraj  ,40993,Banda 16,5,21375,1496.25,641.25
A-8181,Finanzas,Edwardo Hardrick  ,42261,Banda 18,3,34262,2055.72,4454.06
A-7962,Finanzas,Marinda Skelley  ,42710,Banda 15,1,10330.5,1033.05,206.61
R08197,Finanzas,Willian LaRH  ,40986,Banda 15,3,12398,743.88,123.98
R07905,Finanzas,Jeane Putney  ,42384,Banda 18,2,34333.2,2746.656,1029.996
G08456,Finanzas,Juliet Pass  ,42366,Banda 15,2,11124,1112.4,222.48
G-7571,Finanzas,Elton Verrier  ,42856,Banda 17,4,32686.5,2614.92,2614.92
G-8177,Finanzas,Roosevelt Saleem  ,41494,Banda 15,3,9959,995.9,398.36
G07502,Finanzas,Margarete Sauer  ,40492,Banda 15,2,9945.9,596.754,795.672
L07879,Finanzas,Porsche Lockamy  ,42024,Banda 15,5,15221.25,913.275,1065.4875
L-8330,Finanzas,Willian LaRH  ,40872,Banda 17,3,21016,1681.28,2311.76
G07972,Finanzas,Nelia Sellner  ,42140,Banda 15,2,9490.5,664.335,664.335
R-7601,Finanzas,Krystyna Summerlin  ,40515,Banda 18,3,39331,3539.79,786.62
L08083,Finanzas,Herlinda Thorp  ,41219,Banda 19,4,49333.9,3453.373,2466.695
R-8433,Finanzas,Saundra Smiddy  ,41221,Banda 15,3,8481,508.86,169.62
R-8308,Finanzas,Gemma Percell  ,42295,Banda 15,5,16586.25,995.175,165.8625
L07440,Finanzas,Edyth Judkins  ,42234,Banda 16,3,20300,1218,812
A08088,Finanzas,Trudy Gaulding  ,42965,Banda 16,4,19404,1164.24,1552.32
L-7785,Finanzas,Frankie Koester  ,41340,Banda 15,4,16277.8,1139.446,1790.558
L-8112,Finanzas,Oneida Cosio  ,41351,Banda 15,3,8486,509.16,594.02
A07610,Finanzas,Shannan Dingess  ,42770,Banda 15,4,9175.1,550.506,550.506
L-7975,Finanzas,Graciela Hufford  ,41933,Banda 16,3,14877,1190.16,1934.01
G-7445,Finanzas,Herlinda Thorp  ,42509,Banda 16,5,18303.75,915.1875,1464.3
A07863,Finanzas,Porsche Lockamy  ,41669,Banda 15,4,12345.3,1111.077,1604.889
A08000,Finanzas,Hanh Kohut  ,40723,Banda 15,3,8611,430.55,861.1
R-8082,Finanzas,Audrea Franke  ,41529,Banda 15,3,10022,1002.2,200.44
G-7468,Finanzas,Brigida Arzate  ,41372,Banda 18,3,32723,2617.84,3272.3
A-8286,Finanzas,Shonta Stefan  ,42115,Banda 15,2,9802.8,686.196,588.168
G-7920,Finanzas,Sandy Faison  ,41283,Banda 20,3,88853,6219.71,1777.06
G-7328,Finanzas,Shenika Lamont  ,42622,Banda 15,3,12552,627.6,1506.24
L-8027,Finanzas,Hanh Kohut  ,42875,Banda 15,4,16409.8,820.49,2461.47
R-8362,Finanzas,Kelley Bonenfant  ,41385,Banda 19,2,39530.7,3162.456,3557.763
L07954,Finanzas,Aretha Newbern  ,41505,Banda 15,2,9901.8,990.18,792.144
L-8456,Finanzas,Willian LaRH  ,42775,Banda 15,2,10174.5,508.725,305.235
R08132,Finanzas,Krystyna Summerlin  ,40908,Banda 19,4,50312.9,3018.774,7546.935
G07726,Finanzas,Emmy Trader  ,41733,Banda 15,3,12956,777.36,1036.48
R-7869,Finanzas,Tyrell Herrmann  ,41794,Banda 18,2,30257.1,1512.855,302.571
G-7315,Finanzas,Idell Ding  ,41806,Banda 17,2,27752.4,1387.62,1665.144
A-7338,Finanzas,Candelaria Loya  ,41353,Banda 16,2,13999.5,979.965,1959.93
L08328,Finanzas,Erich Gattis  ,42191,Banda 15,4,15222.9,1522.29,1674.519
