uid,area,gerente,fecha,banda,calificacion,salario,seguro
A07394,Assembly,Kimi Witter  ,2017-03-04,Banda 17,2,25442.1,2289.7889999999998
A07395,Software,Lean Hersom  ,2011-10-24,Banda 16,4,22455.4,2020.986
A07397,RESO,Leontine Longacre  ,2014-11-01,Banda 15,2,13833.0,1106.64
A07401,Ventas,Aisha Fermin  ,2015-09-23,Banda 16,4,21018.8,2101.88
A07419,Finanzas,Heide Kardos  ,2016-02-01,Banda 15,4,16769.5,1676.95
A07432,Software,Charisse Weist  ,2010-11-13,Banda 15,3,10298.0,926.82
A07437,Hardware,Laverna Goble  ,2012-10-04,Banda 15,4,11569.8,1156.98
A07439,Assembly,Gemma Percell  ,2012-10-01,Banda 18,4,49881.7,4988.17
A07444,Software,Gemma Percell  ,2013-09-03,Banda 15,2,12744.0,637.2
A07446,Finanzas,Wade Landen  ,2017-03-14,Banda 15,2,8683.2,694.6560000000001
A07449,Assembly,Ladawn Karner  ,2017-09-26,Banda 15,5,16656.25,1332.5
A07454,RESO,Sandy Mcgrady  ,2011-06-11,Banda 17,3,31605.0,3160.5
A07457,Finanzas,Clara Lamas  ,2012-05-20,Banda 17,4,31192.7,1559.635
A07458,Hardware,Sterling Huston  ,2012-08-05,Banda 16,4,24565.2,2456.52
A07459,Assembly,Aretha Newbern  ,2014-03-02,Banda 16,3,19378.0,1937.8
A07462,Hardware,Kelley Bonenfant  ,2012-11-19,Banda 15,3,12812.0,1024.96
A07465,Software,Adalberto Mcferrin  ,2012-10-05,Banda 19,2,51750.0,5175.0
A07466,Hardware,Heide Kardos  ,2012-09-21,Banda 15,3,13405.0,1072.4
A07468,Hardware,Tanner Cambridge  ,2017-11-05,Banda 16,5,18797.5,1879.75
A07470,Software,Trudy Gaulding  ,2017-01-03,Banda 15,2,9919.8,892.7819999999999
A07473,Gerencia,Tomoko Parente  ,2015-10-09,Banda 17,3,23093.0,2078.37
A07476,Hardware,Brigida Arzate  ,2015-08-11,Banda 15,4,16520.9,1321.672
A07478,Administration,Quinn Coller  ,2017-04-30,Banda 16,3,16001.0,960.06
A07479,Software,Pandora Chang  ,2015-04-16,Banda 15,3,13553.0,1084.24
A07482,Software,Anastacia Delacruz  ,2011-09-12,Banda 16,3,14594.0,1021.58
A07493,Business Services,Earnest Anderton  ,2016-06-23,Banda 16,2,19594.8,1763.5320000000002
A07495,Hardware,Kandace Navin  ,2013-05-14,Banda 15,3,14898.0,1340.82
A07496,Software,Adalberto Mcferrin  ,2012-10-23,Banda 17,3,30919.0,1855.14
A07500,Assembly,Daysi Armas  ,2012-09-20,Banda 15,3,8029.0,481.74
A07503,Software,Adelia Monty  ,2011-06-29,Banda 15,4,12333.2,863.324
A07508,Hardware,Jayme Tolleson  ,2011-10-06,Banda 15,3,15092.0,1056.44
A07511,Software,Erich Gattis  ,2011-03-02,Banda 17,2,21388.5,1924.965
A07514,Finanzas,Sarai Darosa  ,2017-08-29,Banda 16,3,18138.0,1088.28
A07518,Software,Krystyna Summerlin  ,2017-06-04,Banda 18,5,48726.25,3410.8375
A07521,Software,Mayme Gorney  ,2014-05-31,Banda 17,3,22756.0,1820.48
A07528,Hardware,Ladawn Karner  ,2011-05-21,Banda 18,1,30321.0,1819.26
A07534,Hardware,Juliet Pass  ,2015-08-14,Banda 16,3,19448.0,1944.8
A07536,Hardware,Sandy Mcgrady  ,2013-08-30,Banda 15,5,15040.0,1504.0
A07545,Administration,Geraldo Marty  ,2015-03-13,Banda 15,2,9513.0,475.65
A07547,Software,Candelaria Loya  ,2013-10-21,Banda 15,3,11483.0,688.98
A07550,Assembly,Wade Landen  ,2011-12-13,Banda 15,3,11223.0,1010.07
A07551,Hardware,Mayme Gorney  ,2016-05-12,Banda 15,3,12837.0,1026.96
A07560,Software,Pandora Chang  ,2012-04-06,Banda 15,2,11626.2,930.096
A07561,Hardware,Jayme Tolleson  ,2017-03-03,Banda 15,2,13228.2,1190.538
A07571,Gerencia,Elayne Gauger  ,2016-09-20,Banda 16,3,19600.0,980.0
A07573,Hardware,Henry Maberry  ,2015-11-18,Banda 15,4,15995.1,1119.657
A07582,Assembly,Candelaria Loya  ,2014-06-20,Banda 17,4,26089.8,1826.286
A07584,Gerencia,Lyla Falzone  ,2017-02-23,Banda 15,4,9676.7,774.1360000000001
A07591,Software,Adelia Monty  ,2011-12-24,Banda 15,3,11767.0,823.69
A07596,Hardware,Elma Matheney  ,2010-11-28,Banda 15,2,9640.8,482.04
A07597,Assembly,Audrea Franke  ,2013-09-30,Banda 15,3,10893.0,980.37
A07599,Hardware,Roosevelt Saleem  ,2017-09-20,Banda 16,3,14236.0,1423.6
A07600,Software,Shonta Stefan  ,2013-06-14,Banda 16,1,13783.5,827.01
A07601,Business Services,Kimi Witter  ,2011-08-27,Banda 16,2,16262.1,1138.347
A07603,Software,Daysi Armas  ,2015-01-04,Banda 15,3,9382.0,844.38
A07604,Assembly,Krystyna Summerlin  ,2015-09-14,Banda 18,3,39710.0,3971.0
A07606,Marketing,January Heslop  ,2011-09-12,Banda 15,5,19308.75,965.4375
A07607,Business Services,Margarete Sauer  ,2014-09-01,Banda 16,2,19801.8,990.09
A07608,Ventas,Coreen Washer  ,2011-07-10,Banda 16,3,19187.0,1343.09
A07610,Software,Wade Landen  ,2015-09-30,Banda 15,2,7636.5,763.65
A07612,Ventas,Lyla Falzone  ,2015-09-26,Banda 16,3,14022.0,701.1
A07613,Assembly,Porsche Lockamy  ,2011-03-17,Banda 19,2,39530.7,3557.763
A07621,Hardware,Colene Apicella  ,2013-05-09,Banda 15,4,13029.5,912.065
A07623,Software,Pandora Chang  ,2015-08-25,Banda 15,3,15236.0,1371.24
A07625,Software,Mayme Gorney  ,2011-07-10,Banda 15,2,13825.8,691.29
A07627,Software,Mary Herb  ,2012-12-30,Banda 15,2,9778.5,684.495
A07630,Hardware,Lynne Gainey  ,2012-07-03,Banda 18,3,36496.0,3284.64
A07634,Recursos Humanos,Anastacia Delacruz  ,2016-03-01,Banda 15,3,12223.0,611.15
A07635,Assembly,Lourie Ealy  ,2011-06-17,Banda 16,4,16258.0,975.48
A07637,Hardware,Earnest Anderton  ,2012-09-25,Banda 16,3,19163.0,1341.41
A07640,Finanzas,Lindsey Eckel  ,2011-02-08,Banda 15,3,11622.0,813.54
A07641,Ventas,Shonta Stefan  ,2014-12-04,Banda 17,3,30895.0,3089.5
A07649,Software,Elma Matheney  ,2011-11-05,Banda 17,4,28976.2,2607.8579999999997
A07650,Assembly,Sha Desimone  ,2017-08-25,Banda 16,3,22226.0,1111.3
A07665,Gerencia,Mayme Gorney  ,2016-04-07,Banda 15,3,12412.0,1117.08
A07671,Assembly,Susanna Vosburgh  ,2012-08-26,Banda 17,2,24875.1,2238.759
A07673,Assembly,Tyrell Herrmann  ,2016-02-16,Banda 15,3,13327.0,1066.16
A07680,Hardware,Quinn Coller  ,2016-10-10,Banda 15,2,8013.6,801.36
A07681,Software,Sandy Mcgrady  ,2011-05-19,Banda 16,3,22133.0,1770.64
A07682,Assembly,Elton Verrier  ,2016-02-05,Banda 15,2,10372.5,518.625
A07686,Hardware,Kandace Navin  ,2013-09-19,Banda 15,3,10205.0,510.25
A07688,Software,Edwardo Hardrick  ,2014-09-12,Banda 16,3,21510.0,1075.5
A07691,Business Services,Santa Brister  ,2016-11-09,Banda 15,3,8954.0,626.78
A07696,Finanzas,Margarete Sauer  ,2010-11-10,Banda 15,2,9945.9,596.754
A07698,Hardware,Jeni Buchman  ,2013-11-18,Banda 17,3,21660.0,2166.0
A07706,Software,Tomoko Vierra  ,2011-09-27,Banda 15,3,13345.0,1067.6
A07711,Ventas,Heide Kardos  ,2014-09-14,Banda 17,3,30806.0,3080.6
A07714,Ventas,Aisha Fermin  ,2014-08-13,Banda 16,3,21100.0,1899.0
A07719,Ventas,Mayme Gorney  ,2017-05-22,Banda 15,4,12655.5,632.775
A07724,Marketing,Oneida Cosio  ,2015-09-09,Banda 17,4,28619.8,2289.584
A07730,Software,Margarete Sauer  ,2017-09-27,Banda 16,1,14414.25,864.855
A07731,Hardware,Heide Kardos  ,2013-07-29,Banda 19,5,59032.5,2951.625
A07732,Gerencia,Nathalie Boettcher  ,2017-10-24,Banda 15,5,12718.75,763.125
A07733,Assembly,Lourie Ealy  ,2012-02-22,Banda 15,3,10722.0,750.54
A07735,Ventas,Willian LaRH  ,2011-04-30,Banda 17,3,29647.0,1482.35
A07736,Ventas,Graciela Hufford  ,2012-05-18,Banda 17,2,22698.0,1361.88
A07737,Finanzas,Quinn Coller  ,2013-09-15,Banda 15,4,12602.7,630.135
A07744,Software,Adelia Monty  ,2015-07-02,Banda 15,2,10305.9,515.295
A07749,Software,Della Muniz  ,2013-11-22,Banda 15,4,9790.0,685.3
A07755,Marketing,Mayme Gorney  ,2014-07-27,Banda 17,4,25375.9,2537.59
A07756,Hardware,Johnette Chapple  ,2011-06-05,Banda 17,3,23750.0,1187.5
A07757,RESO,Heide Kardos  ,2016-03-16,Banda 16,2,18075.6,1084.536
A07760,Finanzas,Veola Frase  ,2014-07-18,Banda 15,2,7860.6,471.63599999999997
A07761,Software,Porsche Lockamy  ,2016-12-03,Banda 20,3,92586.0,9258.6
A07764,Finanzas,Concepcion Sevin  ,2012-01-08,Banda 15,3,8124.0,568.68
A07766,Hardware,Daysi Armas  ,2016-09-08,Banda 15,3,9705.0,582.3
A07770,Ventas,Jeane Putney  ,2012-07-10,Banda 15,3,10968.0,877.44
A07781,Hardware,Kristan Botelho  ,2014-05-16,Banda 15,4,15822.4,1265.792
A07783,Software,Mary Herb  ,2015-08-05,Banda 17,3,22077.0,1103.85
A07784,Marketing,Coreen Washer  ,2014-01-04,Banda 15,3,12062.0,1085.58
A07790,Finanzas,Valeria Boothby  ,2011-10-07,Banda 15,3,12041.0,1083.69
A07792,Software,Mayme Gorney  ,2012-09-11,Banda 15,3,8062.0,564.34
A07795,Ventas,Davina Farraj  ,2011-09-04,Banda 18,4,44003.3,4400.33
A07796,Assembly,Sandy Faison  ,2014-06-14,Banda 15,4,14876.4,1190.112
A07803,Software,Gemma Percell  ,2016-01-07,Banda 17,2,25270.2,2274.3179999999998
A07809,Software,Aretha Newbern  ,2015-12-25,Banda 15,4,10473.1,942.579
A07813,Ventas,Tomoko Vierra  ,2016-03-08,Banda 16,3,16716.0,1002.96
A07819,Administration,Krystyna Summerlin  ,2017-04-24,Banda 17,4,26471.5,2382.435
A07824,Finanzas,Colene Apicella  ,2012-11-02,Banda 16,4,16099.6,1609.96
A07835,Hardware,Coreen Washer  ,2015-01-11,Banda 18,2,37026.0,1851.3
A07841,Assembly,Coreen Washer  ,2013-05-27,Banda 15,3,10030.0,802.4
A07858,Hardware,Davina Farraj  ,2014-01-03,Banda 15,3,14688.0,1028.16
A07862,Hardware,Mary Herb  ,2012-03-23,Banda 18,2,36891.0,2213.46
A07863,Finanzas,Jayme Tolleson  ,2015-12-24,Banda 15,4,13174.7,1185.723
A07868,Ventas,Ileen Reynosa  ,2016-10-22,Banda 15,5,12398.75,1239.875
A07870,Software,Mayme Gorney  ,2015-02-11,Banda 15,4,15939.0,956.34
A07871,Assembly,Elma Matheney  ,2013-03-08,Banda 15,4,15105.2,1510.52
A07873,Assembly,Justa Boer  ,2013-02-06,Banda 15,2,9927.0,496.35
A07875,Assembly,Jeni Buchman  ,2013-06-21,Banda 15,4,8965.0,448.25
A07877,Assembly,Herlinda Thorp  ,2017-02-28,Banda 15,1,7140.0,428.4
A07880,Software,Sandy Faison  ,2012-12-26,Banda 16,2,18443.7,922.185
A07882,Recursos Humanos,Candelaria Loya  ,2011-09-23,Banda 17,4,30140.0,3014.0
A07891,Software,Emmy Trader  ,2013-01-04,Banda 15,3,12232.0,856.24
A07892,Finanzas,Della Muniz  ,2011-06-16,Banda 15,3,8200.0,574.0
A07893,Administration,Jordon Deschamp  ,2016-03-13,Banda 16,3,22051.0,1102.55
A07894,Hardware,Mayra Stead  ,2016-08-02,Banda 17,3,26551.0,2655.1
A07899,Software,Elton Verrier  ,2014-09-15,Banda 16,1,17213.25,1721.325
A07900,Hardware,Coreen Washer  ,2015-12-15,Banda 15,4,10067.2,906.048
A07905,Hardware,Anastacia Delacruz  ,2011-04-07,Banda 15,3,13594.0,951.58
A07910,Ventas,January Heslop  ,2017-10-10,Banda 15,2,10434.6,834.768
A07913,Hardware,Lindsey Eckel  ,2014-01-11,Banda 17,4,30624.0,2143.68
A07914,Hardware,Tomoko Parente  ,2015-11-24,Banda 15,2,12906.9,1161.621
A07916,Software,Tomoko Parente  ,2014-02-23,Banda 16,2,14578.2,1166.256
A07917,Hardware,Nathalie Boettcher  ,2016-09-25,Banda 15,2,7217.1,433.026
A07918,Software,Lynne Gainey  ,2017-01-05,Banda 15,2,13035.6,651.78
A07923,Assembly,Mayra Stead  ,2015-07-22,Banda 16,2,16548.3,1323.864
A07925,RESO,Kelley Bonenfant  ,2015-04-14,Banda 15,4,11895.4,951.632
A07937,Hardware,Mayme Gorney  ,2012-07-22,Banda 17,4,26851.0,2416.59
A07938,Assembly,Jeni Buchman  ,2011-05-16,Banda 15,3,12977.0,908.39
A07942,Software,Laverna Goble  ,2014-01-19,Banda 15,4,15884.0,794.2
A07945,Ventas,Roosevelt Saleem  ,2015-08-11,Banda 16,2,13682.7,957.789
A07946,Software,Concepcion Sevin  ,2014-12-05,Banda 15,2,12645.9,758.7539999999999
A07947,Finanzas,Shonta Stefan  ,2015-04-21,Banda 15,2,9802.8,686.196
A07950,Software,Ladawn Karner  ,2012-08-13,Banda 15,2,9647.1,964.71
A07959,Assembly,Concepcion Sevin  ,2017-09-14,Banda 17,1,24546.0,1227.3
A07962,Marketing,Johnette Chapple  ,2016-07-07,Banda 15,4,10976.9,987.921
A07965,Hardware,Gabrielle Merriman  ,2014-07-14,Banda 16,3,21259.0,1488.13
A07971,Assembly,Adelia Monty  ,2012-01-17,Banda 15,3,13128.0,787.68
A07977,Assembly,Noble Portis  ,2017-07-28,Banda 17,4,23280.4,1164.02
A07979,Hardware,Sha Desimone  ,2016-06-11,Banda 16,2,17158.5,857.925
A07983,Ventas,Roosevelt Saleem  ,2015-01-09,Banda 16,4,22712.8,2271.28
A07986,Software,Justa Boer  ,2015-10-29,Banda 16,4,20191.6,1817.244
A07987,Finanzas,Geraldo Marty  ,2012-10-18,Banda 19,3,46915.0,4222.35
A07988,Hardware,Della Muniz  ,2016-02-22,Banda 15,2,7519.5,526.365
A07990,Assembly,Margareta Schwing  ,2013-08-17,Banda 15,3,15012.0,1351.08
A07993,Gerencia,Sandy Mcgrady  ,2016-05-23,Banda 16,4,19694.4,984.72
A07994,Assembly,Aretha Newbern  ,2015-07-26,Banda 15,3,13888.0,694.4
A07995,Assembly,Juliet Pass  ,2013-02-26,Banda 15,4,13833.6,691.68
A07996,Hardware,Juliet Pass  ,2015-10-24,Banda 15,3,15361.0,1228.88
A07997,Ventas,Susanna Vosburgh  ,2011-09-08,Banda 16,2,14940.0,1195.2
A08000,Business Services,Mary Herb  ,2010-12-28,Banda 16,2,16892.1,1351.368
A08001,Finanzas,Juliet Pass  ,2015-12-28,Banda 15,2,11124.0,1112.4
A08002,Assembly,Anastacia Delacruz  ,2013-03-27,Banda 15,3,8167.0,490.02
A08004,Hardware,Gaylord Damian  ,2010-11-23,Banda 15,2,10042.2,903.798
A08006,Assembly,Herlinda Thorp  ,2012-09-08,Banda 15,4,13570.7,949.949
A08011,Software,Santa Brister  ,2015-05-16,Banda 15,3,14475.0,1013.25
A08018,Ventas,Kelley Bonenfant  ,2016-07-12,Banda 15,3,13065.0,1045.2
A08026,Software,Veola Frase  ,2013-05-14,Banda 18,3,33309.0,2997.81
A08027,Software,Tanner Cambridge  ,2012-10-06,Banda 15,3,9758.0,975.8
A08029,RESO,Jayme Tolleson  ,2016-02-08,Banda 15,3,8535.0,426.75
A08030,Finanzas,Enrique KeRHer  ,2014-02-11,Banda 15,4,12274.9,859.243
A08031,Software,Noble Portis  ,2016-09-07,Banda 17,2,19448.1,972.405
A08038,Hardware,Nena Custis  ,2016-07-10,Banda 15,4,15115.1,1511.51
A08039,Assembly,Edyth Judkins  ,2016-10-23,Banda 15,4,12875.5,1158.795
A08046,Assembly,Herlinda Thorp  ,2016-09-12,Banda 18,2,31955.4,2875.986
A08050,Assembly,Noble Portis  ,2015-07-25,Banda 16,3,22245.0,1112.25
A08053,Assembly,Sandy Faison  ,2016-11-10,Banda 16,4,23722.6,2135.034
A08054,Software,Gaylord Damian  ,2014-07-15,Banda 17,1,20139.0,1006.95
A08055,Business Services,Erich Gattis  ,2015-02-14,Banda 15,3,8922.0,892.2
A08071,Hardware,Sandy Faison  ,2016-11-21,Banda 16,3,19103.0,1910.3
A08072,Recursos Humanos,Shonta Stefan  ,2011-11-21,Banda 15,2,7354.8,661.932
A08075,Finanzas,Noble Portis  ,2013-02-14,Banda 20,2,85127.4,4256.37
A08076,Hardware,Margarete Sauer  ,2013-04-21,Banda 15,2,8192.7,409.635
A08080,Software,Saundra Smiddy  ,2012-10-22,Banda 15,3,12081.0,966.48
A08083,Ventas,Ileen Reynosa  ,2013-06-29,Banda 17,4,24637.8,2463.78
A08084,Software,Tyrell Herrmann  ,2013-07-25,Banda 15,3,12807.0,1024.56
A08088,Ventas,Saundra Smiddy  ,2014-03-17,Banda 15,2,13284.0,1328.4
A08091,Assembly,Graciela Hufford  ,2011-06-06,Banda 17,3,22472.0,1797.76
A08095,Ventas,Margareta Schwing  ,2016-04-21,Banda 16,3,18032.0,1262.24
A08097,Finanzas,Marinda Skelley  ,2011-06-16,Banda 15,4,12232.0,856.24
A08104,Finanzas,Leontine Longacre  ,2016-02-21,Banda 15,3,13962.0,1256.58
A08109,Software,Tyrell Herrmann  ,2016-09-08,Banda 15,5,17361.25,1041.675
A08114,Hardware,Pandora Chang  ,2016-01-23,Banda 15,2,9697.5,678.825
A08115,Hardware,Leontine Longacre  ,2015-04-20,Banda 16,2,18651.6,1119.096
A08118,Marketing,Tanner Cambridge  ,2012-12-17,Banda 15,2,12909.6,645.48
A08120,Finanzas,Willian LaRH  ,2015-05-15,Banda 16,2,18031.5,1442.52
A08122,Marketing,Sha Desimone  ,2012-08-29,Banda 15,5,13636.25,1227.2625
A08128,Software,Gemma Percell  ,2010-11-24,Banda 18,3,34587.0,1729.35
A08130,Recursos Humanos,Jordon Deschamp  ,2011-10-20,Banda 16,2,19959.3,1995.93
A08134,Business Services,Sandy Mcgrady  ,2014-11-14,Banda 16,4,21398.3,1925.8470000000002
A08135,Assembly,Tomoko Vierra  ,2011-07-19,Banda 15,3,14112.0,1270.08
A08136,Administration,Gaylord Damian  ,2012-09-21,Banda 17,1,21462.75,1287.765
A08137,Administration,Clara Lamas  ,2017-01-05,Banda 15,1,9325.5,652.785
A08138,Software,Gerente,2015-06-27,Banda 15,5,16826.25,1682.625
A08142,Software,Margarete Sauer  ,2017-05-25,Banda 17,2,28371.6,2553.444
A08143,Hardware,Anastacia Delacruz  ,2011-07-05,Banda 16,2,16273.8,1139.1660000000002
A08144,Ventas,Shonta Stefan  ,2015-06-04,Banda 20,3,66833.0,3341.65
A08146,Assembly,Emmy Trader  ,2012-04-28,Banda 15,4,10980.2,878.416
A08151,Hardware,Gabrielle Merriman  ,2014-10-29,Banda 17,4,25520.0,2041.6
A08152,Software,Noble Portis  ,2012-12-06,Banda 15,5,15016.25,1051.1375
A08153,RESO,Juliet Pass  ,2013-10-13,Banda 15,4,12380.5,1238.05
A08161,Assembly,Mary Herb  ,2011-07-31,Banda 15,3,12624.0,1136.16
A08164,Assembly,Elayne Gauger  ,2016-05-04,Banda 18,3,38064.0,3425.76
A08168,Assembly,Lynne Gainey  ,2017-10-15,Banda 16,2,14622.3,1169.7839999999999
A08172,Administration,Mayra Stead  ,2010-12-14,Banda 15,4,9259.8,925.98
A08173,Software,Tanner Cambridge  ,2017-02-16,Banda 16,2,18652.5,1119.15
A08174,Hardware,Audrie Ehlert  ,2015-07-05,Banda 15,3,8989.0,809.01
A08176,Finanzas,Adelia Monty  ,2013-02-19,Banda 15,3,9030.0,722.4
A08179,Hardware,Veola Frase  ,2016-08-22,Banda 15,3,12237.0,1223.7
A08184,Software,Mary Herb  ,2015-09-16,Banda 16,3,16337.0,1306.96
A08186,Finanzas,Mary Herb  ,2012-01-26,Banda 15,1,8805.75,792.5175
A08187,Hardware,Nena Custis  ,2017-09-14,Banda 15,3,9170.0,458.5
A08188,Finanzas,Kelley Bonenfant  ,2013-07-18,Banda 15,2,12868.2,900.7739999999999
A08189,Hardware,Shannan Dingess  ,2014-11-10,Banda 16,3,19869.0,1390.83
A08190,RESO,Gemma Percell  ,2015-01-31,Banda 16,5,19183.75,959.1875
A08196,Assembly,Aisha Fermin  ,2013-04-01,Banda 19,4,53568.9,4821.201
A08198,Hardware,Shannan Dingess  ,2017-04-16,Banda 15,3,14064.0,1125.12
A08199,Finanzas,Herlinda Thorp  ,2013-11-29,Banda 17,2,24014.7,2401.47
A08201,Hardware,Marinda Skelley  ,2015-04-12,Banda 15,1,10936.5,656.19
A08202,Hardware,Shenika Lamont  ,2015-05-06,Banda 15,3,13810.0,1104.8
A08204,Software,Juliet Pass  ,2013-10-31,Banda 17,1,19176.0,1917.6
A08205,Ventas,Tanner Cambridge  ,2011-05-08,Banda 15,2,12569.4,754.164
A08206,Software,Marinda Skelley  ,2017-04-14,Banda 15,2,8490.6,764.154
A08207,Hardware,Colene Apicella  ,2011-08-01,Banda 15,3,8681.0,694.48
A08209,Hardware,Enrique Kehrer  ,2017-03-04,Banda 16,3,17617.0,1409.36
A08214,Assembly,Nelia Sellner  ,2017-05-16,Banda 15,1,10299.75,720.9825
A08216,Software,Lyla Falzone  ,2011-06-01,Banda 16,3,22420.0,1569.4
A08217,Assembly,Candelaria Loya  ,2017-01-30,Banda 15,2,9011.7,901.17
A08224,Hardware,Leontine Longacre  ,2014-09-10,Banda 15,4,11346.5,1021.185
A08225,Hardware,Earnest Anderton  ,2012-07-09,Banda 17,3,23820.0,1429.2
A08228,Hardware,Geraldo Marty  ,2017-08-19,Banda 15,3,10092.0,605.52
A08231,Finanzas,Elton Verrier  ,2017-02-14,Banda 15,3,13306.0,931.42
A08233,Hardware,Mayra Stead  ,2012-01-20,Banda 18,2,40658.4,2846.0879999999997
A08235,Hardware,Della Muniz  ,2011-07-05,Banda 17,4,26645.3,1332.265
A08238,Hardware,Nathalie Boettcher  ,2011-03-28,Banda 20,2,107525.7,5376.285
A08240,Marketing,Shonta Stefan  ,2010-12-09,Banda 16,5,22913.75,1374.825
A08247,Software,Gerente,2013-08-25,Banda 15,2,12528.9,626.445
A08252,Assembly,Kimberely Houtz  ,2017-05-06,Banda 18,2,41416.2,2484.972
A08259,Assembly,Tomoko Vierra  ,2016-07-28,Banda 15,3,11429.0,685.74
A08261,Software,Lean Hersom  ,2014-04-19,Banda 17,3,26130.0,2613.0
A08262,RESO,Janene Wellman  ,2012-10-08,Banda 16,2,16974.0,1018.44
A08264,Ventas,Quinn Coller  ,2017-03-07,Banda 19,4,50361.3,3525.2909999999997
A08268,Hardware,Edwardo Hardrick  ,2013-05-01,Banda 18,1,25959.75,1817.1825
A08271,Software,Herlinda Thorp  ,2015-02-23,Banda 15,3,14805.0,1332.45
A08272,Software,Margarete Sauer  ,2012-08-22,Banda 16,2,15579.9,1402.191
A08274,Software,Lindsey Eckel  ,2017-08-25,Banda 15,3,11011.0,770.77
A08280,Assembly,Tyrell Herrmann  ,2012-07-20,Banda 15,4,16533.0,1157.31
A08284,Software,Pandora Chang  ,2017-09-10,Banda 18,4,39604.4,1980.22
A08286,Marketing,Aretha Newbern  ,2017-09-30,Banda 15,4,10740.4,966.6360000000001
A08293,Software,Lindsey Eckel  ,2016-10-16,Banda 15,4,16206.3,972.378
A08294,Software,Gerente,2014-06-06,Banda 16,3,18998.0,1709.82
A08297,Business Services,Janene Wellman  ,2012-02-10,Banda 15,2,12340.8,987.2639999999999
A08300,Software,Nena Custis  ,2013-08-27,Banda 15,2,7738.2,541.674
A08301,Recursos Humanos,Noble Portis  ,2013-03-17,Banda 17,4,36258.2,2175.492
A08311,Administration,Concepcion Sevin  ,2016-12-21,Banda 20,5,125776.25,11319.8625
A08315,Software,Sterling Huston  ,2011-01-17,Banda 15,5,14416.25,720.8125
A08320,Finanzas,Aisha Fermin  ,2014-08-14,Banda 15,3,11296.0,790.72
A08323,Ventas,Kristan Botelho  ,2014-02-05,Banda 15,4,16069.9,1446.2910000000002
A08337,Recursos Humanos,Daysi Armas  ,2015-07-08,Banda 15,4,14851.1,742.555
A08339,Software,Margareta Schwing  ,2010-12-27,Banda 16,5,25695.0,1541.7
A08340,RESO,January Heslop  ,2015-07-12,Banda 15,4,8857.2,442.86
A08342,Assembly,Aisha Fermin  ,2016-01-18,Banda 15,2,12978.9,778.7339999999999
A08343,Software,Margarete Sauer  ,2017-02-03,Banda 16,2,16402.5,1640.25
A08344,Hardware,Enrique Kehrer  ,2013-07-21,Banda 15,4,16413.1,984.7860000000001
A08349,Software,Roosevelt Saleem  ,2012-04-19,Banda 16,4,18726.4,1685.376
A08352,Software,January Heslop  ,2013-02-23,Banda 15,4,13773.1,688.655
A08355,Recursos Humanos,Audrea Franke  ,2015-09-05,Banda 15,3,10671.0,1067.1
